amount0In,amount0Out,amount1In,amount1Out,id,pair,timestamp
0,0.027565922454524316,63.676114,0,0x0c3536656700e7c9501fad3925822a1e1a3de40052160af58b4ca957650adebd-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704122867
0,0.017026133510119299,38.891755,0,0x0c3a51ab4a7178b0e6aa875f09b98b2da8f3f046895711864e3a02df65498913-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704088235
0.464690924798275042,0,0,1084.632446,0x0c411f0b9ab6dd1d2b3ccf0d8b20c20feed90b82a2d4cad413244e51e2f40822-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704145451
0,0.086531327551473617,200,0,0x0c43e2121e5d59e8b04db8ecf67e45a56e521a2b93743607f349f8a4b9ad3621-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704119831
0,0.346476021667663452,800,0,0x0c5368a8dd7af04d9b5aeb79c6665aad83d0c9f2d2abbf6e98bcebebcf6207a2-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704111635
0,0.209168088687641066,500,0,0x0c67fa868653898eb247bb0b59a5ef49491e1b6580285acbdedfc995916055bd-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704171035
0,3.611344510613658531,8339.187241,0,0x0cbb379bd664101e3492f5853b69248d48b07e86ba1a513e235c6b413df4fdc1-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704113195
0,0.021907856129405684,50,0,0x0ce856e78f8ed632e8ff02183ae7c8bfead5db4f811acb5503ee56359e2ba62f-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704085487
0.046028353848447693,0,0,109.036546,0x0ced3c8a055f07adc3aeb92fc3ffc459a54b0911bbe81bc04965f46985cc009e-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704156779
0,0.083865021347627881,200,0,0x0d025ed314748c8497fa845d24740b6222c48171a7dc13e67bbbd07a375ddca8-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704155915
0.009677800083555141,0,0,22.595881,0x0d218e9b86176bd7a201b433a5a4701fed9d7fb3e1ab1e9e453fca94153325a8-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704143291
0,0.04284659810024879,98.937526,0,0x0d5c86c556366bf3afec825ca114ef51de03b8498cba0243b26b0cb131103d59-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704112307
0,0.008225333343713386,19,0,0x0d5d5dd186ae60bf30922b380da2a978735991d02edd026c20c43213a9ec550e-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704108719
0,0.216531636124726455,500,0,0x0d756c226859be1ff59084df324e26207c92ffee8bbe9364a392733d5ddf4fa6-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704112487
0.2284,0,0,541.693985,0x0d8f309b56987dfa0df17f584e5216758e4ef6c71caabbdca21f2650ece7bca8-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704167423
